title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
"400 Blows, The",1959,53198,236,0,8.1,127795.0,99,Crime,Drama,
A Bucket of Blood,1959,52655,4065,2,6.7,7844.0,66,Comedy,Crime,Horror
Anatomy of a Murder,1959,52561,4199,1,8.0,71122.0,161,Drama,Mystery,
Apur Sansar,1959,52572,6833,0,8.4,16692.0,105,Drama,,
Araya,1959,51372,3119,3,7.6,838.0,90,Documentary,,
Babette Goes to War,1959,52595,10782,3,6.1,450.0,106,Comedy,War,
Ballada o soldate,1959,52600,10966,1,8.2,11255.0,88,Drama,Romance,War
"Bat, The",1959,52602,4523,3,6.0,6178.0,80,Horror,Mystery,Thriller
Battle in Outer Space,1959,53388,6645,1,5.7,1532.0,90,Action,Sci-Fi,
Ben-Hur,1959,52618,1419,3,8.1,252974.0,212,Adventure,Drama,
"Bridge, The",1959,52654,9379,3,8.0,8615.0,103,Drama,History,War
Come Dance with Me!,1959,53428,3442,3,6.2,731.0,91,Crime,Drama,Mystery
Darby O&#39;Gill and the Little People,1959,52722,1591,3,7.1,9334.0,93,Adventure,Family,Fantasy
Ghost of Dragstrip Hollow,1959,52844,4050,3,4.6,740.0,65,Comedy,Horror,
"Giant Gila Monster, The",1959,52846,2796,3,3.6,4315.0,74,Horror,Sci-Fi,Thriller
Gidget,1959,52847,6405,3,6.6,3814.0,95,Comedy,Drama,Romance
Good Morning (Ohay&ocirc;),1959,53134,3525,3,7.8,10951.0,94,Comedy,Drama,Family
"Great War, The",1959,52861,3608,1,8.1,4587.0,137,Comedy,Drama,War
House on Haunted Hill,1959,51744,4373,3,6.7,30745.0,75,Crime,Horror,Mystery
Imitation of Life,1959,52918,2095,3,7.8,18172.0,125,Drama,,
Journey to the Center of the Earth,1959,52948,1256,1,7.0,19467.0,129,Adventure,Family,Fantasy
Night of the Ghouls,1959,156843,9169,1,3.6,2648.0,69,Horror,,
North By Northwest,1959,53125,2228,1,8.3,345177.0,136,Action,Adventure,Mystery
"Nun&#39;s Story, The",1959,53131,1555,3,7.5,11663.0,149,Drama,,
Pillow Talk,1959,53172,8392,3,7.4,19119.0,102,Comedy,Romance,
Plan 9 from Outer Space,1959,52077,9161,1,3.9,40332.0,79,Horror,Sci-Fi,
Ride Lonesome,1959,53220,11186,0,7.1,6536.0,73,Western,,
Rio Bravo,1959,53221,6901,1,8.0,67877.0,141,Drama,Western,
Sleeping Beauty,1959,53285,474,3,7.2,160449.0,75,Adventure,Animation,Family
Sleeping Beauty,1959,53285,9209,3,7.2,160449.0,75,Adventure,Animation,Family
Some Like It Hot,1959,53291,2023,3,8.2,282827.0,121,Comedy,Music,Romance
"Suddenly, Last Summer",1959,53318,2645,3,7.5,17156.0,114,Drama,Mystery,Thriller
"Tingler, The",1959,53363,3166,1,6.6,9417.0,82,Horror,Sci-Fi,
"Wasp Woman, The",1959,54462,4392,3,4.8,5447.0,63,Horror,Sci-Fi,
"World, The Flesh and The Devil, The",1959,53454,8677,0,6.8,3494.0,95,Drama,Romance,Sci-Fi
A bout de souffle,1960,53472,799,0,7.7,87701.0,90,Crime,Drama,
"Apartment, The",1960,53604,1995,3,8.3,196124.0,125,Comedy,Drama,Romance
"Bad Sleep Well, The",1960,54460,9894,1,8.0,13967.0,151,Crime,Drama,Thriller
Black Sunday,1960,54067,3286,3,7.1,17529.0,87,Horror,,
Body in the Web,1960,54333,2950,3,2.7,4203.0,89,Horror,,
"Brides of Dracula, The",1960,53677,8275,3,6.6,8841.0,85,Horror,,
"City of the Dead, The",1960,53719,3634,3,6.7,8477.0,78,Horror,Mystery,Thriller
Conspiracy of Hearts,1960,53732,8992,3,7.1,560.0,113,Drama,War,
Exodus,1960,53804,2144,3,6.7,11345.0,208,Action,Drama,War
First Spaceship on Venus,1960,53250,9207,1,4.6,3128.0,93,Sci-Fi,,
Flaming Star,1960,53825,10762,1,6.5,4053.0,101,Drama,Western,
G.I. Blues,1960,53848,10761,2,6.2,4446.0,104,Comedy,Musical,
Heller in Pink Tights,1960,53902,10855,2,5.9,1511.0,100,Western,,
Inherit the Wind,1960,53946,1712,3,8.1,32682.0,128,Biography,Drama,History
Jigoku (Hell or The Sinners of Hell),1960,154683,3328,3,6.8,4551.0,101,Crime,Drama,Horror
L&#39;avventura,1960,53619,10351,3,7.7,32539.0,144,Drama,Mystery,Romance
La Dolce Vita,1960,53779,6080,2,8.0,78013.0,174,Comedy,Drama,
La ciociara,1960,54749,6756,3,7.7,12385.0,101,Drama,War,
Last Woman on Earth,1960,54017,10170,0,4.7,2142.0,71,Drama,Horror,Mystery
Late Autumn,1960,53579,2808,3,7.9,6102.0,128,Comedy,Drama,
Le Trou,1960,54407,6854,0,8.5,20270.0,131,Crime,Drama,Thriller
Les Bonnes Femmes,1960,53666,9992,3,7.2,3169.0,100,Drama,Mystery,Romance
Les yeux sans visage,1960,53459,656,3,7.6,34977.0,90,Drama,Horror,
Let&#39;s Make Love,1960,54022,2546,2,6.4,8012.0,119,Comedy,Musical,Romance
"Magnificent Seven, The",1960,54047,1295,0,7.7,102298.0,128,Action,Adventure,Drama
Make Mine Mink,1960,54049,4117,3,7.0,1128.0,101,Comedy,,
Nerve on Sunday,1960,54198,9026,2,7.3,6134.0,91,Comedy,Drama,Romance
Peeping Tom,1960,54167,6796,2,7.6,39081.0,101,Drama,Horror,Thriller
Psycho,1960,54215,2039,3,8.5,716316.0,109,Horror,Mystery,Thriller
Rocco and His Brothers,1960,54248,2988,2,8.2,21115.0,179,Crime,Drama,Sport
School for Scoundrels,1960,54279,8566,1,7.3,3888.0,97,Comedy,,
Shoot the Piano Player,1960,54389,8367,2,7.4,20588.0,81,Crime,Drama,Thriller
Spartacus,1960,54331,1273,2,7.9,142841.0,197,Adventure,Biography,Drama
"Story of Ruth, The",1960,54343,5123,3,6.6,1432.0,132,Drama,History,Romance
Testament of Orpheus,1960,54377,3294,1,7.2,3727.0,77,Biography,Fantasy,
"Time Machine, The",1960,54387,9338,0,7.5,44705.0,103,Adventure,Romance,Sci-Fi
"Truth, The",1960,54452,5122,3,7.6,4421.0,128,Drama,,
"Virgin Spring, The",1960,53976,5380,3,8.0,31539.0,89,Drama,,
Where the Boys Are,1960,54469,590,2,6.6,3086.0,99,Comedy,Drama,Romance
Wild River,1960,54476,6146,3,7.5,6163.0,110,Drama,History,Romance
"World of Suzie Wong, The",1960,54483,10449,2,6.9,2745.0,126,Drama,Romance,
Zazie dans le metro,1960,54494,3827,3,6.9,6730.0,93,Comedy,Fantasy,
A Raisin in the Sun,1961,55353,5485,3,8.0,9542.0,128,Drama,,
A Taste of Honey,1961,55506,4539,3,7.4,6314.0,101,Drama,,
A Woman Is a Woman,1961,55572,6539,0,7.3,19156.0,85,Comedy,Drama,Romance
Accattone,1961,54599,7831,3,7.6,10131.0,117,Drama,,
"Beast of Yucca Flats, The",1961,54673,2797,0,1.9,10421.0,54,Horror,Sci-Fi,
Blue Hawaii,1961,54692,3724,3,6.1,7477.0,102,Comedy,Musical,
Breakfast at Tiffany&#39;s,1961,54698,1191,2,7.6,191675.0,115,Comedy,Drama,Romance
"Children&#39;s Hour, The",1961,54743,833,3,7.8,18328.0,108,Drama,Romance,
"Curse of the Werewolf, The",1961,54777,7344,3,6.5,6809.0,93,Horror,,
El Cid,1961,54847,1546,1,7.2,15629.0,182,Biography,Drama,History
Flame in the Streets,1961,54879,8676,3,6.6,413.0,93,Drama,,
Flower Drum Song,1961,54885,10493,2,6.9,3694.0,133,Comedy,Musical,Romance
Girl with a suitcase,1961,54225,11141,1,7.5,2448.0,121,Drama,Romance,
Girls of the Night,1961,203040,10919,3,7.3,294.0,93,Drama,,
"Guns of Navarone, The",1961,54953,6653,1,7.5,55220.0,158,Action,Adventure,Drama
"Hustler, The",1961,54997,1958,0,8.0,86650.0,134,Drama,Sport,
"Innocents, The",1961,55018,8019,3,7.8,32984.0,100,Horror,,
King of Kings,1961,55047,9607,3,7.0,8963.0,168,Biography,Drama,
La Notte,1961,54130,6102,3,7.9,23947.0,122,Drama,,
"Leon Morin, Priest",1961,55082,7798,3,7.5,5641.0,117,Drama,Romance,War
Lola,1961,55093,9268,2,7.5,7503.0,90,Drama,Romance,
"Misfits, The",1961,55184,1365,3,7.2,23320.0,125,Drama,Romance,Western
Mothra,1961,55198,6448,0,6.6,5238.0,101,Adventure,Fantasy,Sci-Fi
Mysterious Island,1961,55207,1257,0,6.7,8491.0,101,Adventure,Family,Fantasy
One Hundred and One Dalmatians,1961,55254,1171,3,7.3,181698.0,79,Adventure,Animation,Comedy
"One, Two, Three",1961,55256,2392,3,7.9,22906.0,104,Comedy,,
"Parent Trap, The",1961,55277,4580,3,7.2,23891.0,129,Comedy,Family,Romance
Paris Blues,1961,55278,3909,3,6.7,3941.0,98,Drama,Music,Romance
"Phantom Planet, The",1961,55294,1292,0,3.8,3311.0,82,Action,Adventure,Sci-Fi
"Please, Not Now!",1961,54700,10476,3,5.5,526.0,85,Comedy,Romance,
Snow White and the Three Stooges,1961,55458,5797,3,5.2,1177.0,107,Adventure,Comedy,Family
Splendor in the Grass,1961,55471,4198,3,7.7,22598.0,124,Drama,Romance,
Through a Glass Darkly,1961,55499,7968,0,7.9,27298.0,90,Drama,,
Underworld U.S.A.,1961,55571,1165,3,7.3,3903.0,99,Crime,Drama,Thriller
West Side Story,1961,55614,2560,3,7.6,120929.0,153,Crime,Drama,Musical
Why Bother to Knock,1961,55621,10670,2,5.1,242.0,89,Comedy,,
Wild in the Country,1961,55623,10766,3,6.3,2073.0,114,Drama,Musical,
Yojimbo,1961,55630,660,1,8.2,130962.0,110,Action,Drama,Thriller
Adieu Philippine,1962,143088,10928,3,7.0,1008.0,106,Drama,Romance,
Advise &amp; Consent,1962,55728,7159,3,7.7,7488.0,139,Drama,Thriller,
Atraco a las tres,1962,55763,7588,1,7.4,1345.0,92,Comedy,,
Boccaccio &acute;70,1962,55805,7120,2,7.0,5026.0,205,Comedy,Fantasy,Romance
"Brain That Wouldn&#39;t Die, The",1962,52646,2762,2,4.5,7556.0,82,Horror,Sci-Fi,
Carnival of Souls,1962,55830,2591,3,7.0,27718.0,78,Horror,Mystery,
Cartouche,1962,55832,7440,1,6.5,2900.0,114,Action,Adventure,Comedy
Cleo from 5 to 7,1962,55852,2609,3,7.8,27122.0,90,Comedy,Drama,Music
"Day of the Triffids, The",1962,55894,1613,3,6.1,8891.0,93,Horror,Sci-Fi,
"Devil&#39;s Hand, The",1962,55902,4407,2,4.6,1414.0,71,Horror,,
Dr. No,1962,55928,4637,1,7.2,179009.0,110,Action,Adventure,Thriller
"Exterminating Angel, The",1962,56732,10522,3,8.0,35453.0,95,Drama,Fantasy,
Follow That Dream,1962,55992,10765,3,6.5,2981.0,109,Comedy,Musical,Romance
Girls! Girls! Girls!,1962,56023,10794,2,5.6,3611.0,106,Comedy,Musical,
Gypsy,1962,56048,3079,3,7.1,6982.0,143,Biography,Comedy,Drama
Hara-Kiri,1962,56058,9818,0,8.6,68108.0,133,Action,Drama,Mystery
Hatari!,1962,56059,6332,3,7.1,14189.0,157,Action,Adventure,Comedy
Ivanovo detstvo,1962,56111,691,1,8.0,39798.0,95,Drama,War,
Jules and Jim,1962,55032,237,1,7.7,44323.0,105,Drama,Romance,
Kid Galahad,1962,56138,10777,1,6.1,3102.0,96,Drama,Musical,Sport
King Kong vs. Godzilla,1962,56142,6119,3,5.7,11152.0,97,Action,Adventure,Fantasy
L&#39;eclisse,1962,56736,10349,3,7.7,21974.0,126,Drama,Romance,
"L-Shaped Room, The",1962,57239,3829,3,7.3,2222.0,126,Drama,Romance,
Lawrence of Arabia,1962,56172,1042,0,8.3,313338.0,218,Adventure,Biography,Drama
Les dimanches de Ville d&#39;Avray,1962,55910,4481,3,7.8,4782.0,111,Drama,,
Lolita,1962,56193,1279,3,7.5,108527.0,153,Crime,Drama,Romance
"Loneliness of the Long Distance Runner, The",1962,56194,6516,3,7.5,9355.0,104,Drama,Sport,
"Longest Day, The",1962,56197,9106,0,7.7,58951.0,178,Action,Drama,History
Love on a Pillow,1962,56404,10533,3,5.5,726.0,102,Drama,Romance,
"Manchurian Candidate, The",1962,56218,1954,1,7.9,79626.0,126,Drama,Thriller,
"Miracle Worker, The",1962,56241,5686,3,8.1,20438.0,106,Biography,Drama,
"Music Man, The",1962,56262,2430,3,7.7,19096.0,151,Comedy,Family,Musical
Only Two Can Play,1962,56308,10576,3,6.6,1409.0,106,Comedy,Drama,
That Touch of Mink,1962,56575,4513,2,6.6,10844.0,99,Comedy,Romance,
To Kill a Mockingbird,1962,56592,1108,3,8.3,332146.0,129,Crime,Drama,
"Treasure of the Silver Lake, The",1962,56452,9690,1,6.8,3607.0,111,Adventure,Drama,Western
"Trial of Joan of Arc, The",1962,59616,3160,0,7.4,5932.0,64,Biography,Drama,History
"Trial, The",1962,57427,2183,1,7.6,23890.0,119,Drama,Mystery,Thriller
Vivre Sa Vie,1962,56663,8849,3,7.8,34891.0,80,Drama,,
Walk on the Wild Side,1962,56671,8673,3,6.7,2926.0,114,Drama,Romance,
War of the Buttons,1962,54949,7312,0,7.4,2814.0,90,Comedy,Family,
What Ever Happened to Baby Jane?,1962,56687,1298,3,8.0,61634.0,134,Drama,Horror,Thriller
"Wonderful World of the Brothers Grimm, The",1962,56700,10980,3,6.4,2149.0,135,Adventure,Animation,Biography
55 Days at Peking,1963,56800,1251,1,6.7,7388.0,154,Action,Adventure,Drama
8&frac12;,1963,56801,5846,3,8.0,124936.0,138,Drama,,
Atragon,1963,57215,6460,0,5.8,1509.0,94,Action,Adventure,Fantasy
Beach Party,1963,56860,2549,2,5.7,2334.0,101,Comedy,Musical,Romance
"Birds, The",1963,56869,2345,3,7.6,203968.0,119,Drama,Horror,Mystery
Bye Bye Birdie,1963,56891,3725,3,6.6,9294.0,112,Comedy,Musical,
Carry on Cabby,1963,56912,2772,3,6.4,3013.0,91,Adventure,Comedy,Romance
Charade,1963,56923,1984,2,7.8,85290.0,113,Comedy,Mystery,Romance
Cleopatra,1963,56937,9388,3,7.0,37316.0,192,Biography,Drama,History
Contempt,1963,57345,3382,1,7.5,35936.0,103,Drama,Romance,
Dementia 13,1963,56983,4394,3,5.7,8947.0,75,Horror,Thriller,
El verdugo,1963,57643,6327,1,7.9,7381.0,87,Comedy,Drama,
From Russia with Love,1963,57076,4659,3,7.3,144956.0,115,Action,Adventure,Thriller
"Great Escape, The",1963,57115,202,0,8.2,258214.0,172,Adventure,Drama,History
"Guest, The",1963,58164,5772,0,7.1,980.0,105,Drama,,
"Haunting, The",1963,57129,4206,3,7.4,42393.0,112,Horror,,
"Incredible Journey, The",1963,57180,8440,1,7.0,5196.0,80,Adventure,Drama,Family
Irma la Douce,1963,57187,607,2,7.3,21258.0,147,Comedy,Romance,
It Happened at the World&#39;s Fair,1963,57191,10528,3,6.0,3121.0,105,Comedy,Musical,Romance
It&#39;s a Mad Mad Mad Mad World,1963,57193,9226,3,7.5,45933.0,210,Action,Adventure,Comedy
"Kiss of the Vampire, The",1963,57226,4331,2,6.2,3888.0,88,Horror,,
Lord of the Flies,1963,57261,1990,0,6.9,20371.0,92,Adventure,Drama,Thriller
Mclintock!,1963,57298,11262,3,7.1,16543.0,126,Comedy,Western,
"Move Over, Darling",1963,57329,5230,3,6.9,6469.0,103,Comedy,Romance,
"Pink Panther, The",1963,57413,629,1,7.0,56468.0,115,Comedy,Crime,Romance
"Raven, The",1963,57449,5712,1,6.5,13505.0,86,Comedy,Fantasy,Horror
Sanjuro,1963,56443,6044,3,8.0,40987.0,96,Action,Drama,Thriller
"Servant, The",1963,57490,6988,3,7.8,13770.0,116,Drama,,
Shock Corridor,1963,57495,2102,0,7.3,13014.0,101,Drama,Mystery,
"Silence, The",1963,57611,5379,3,7.7,21279.0,96,Drama,,
Summer Holiday,1963,57541,6514,3,6.1,1836.0,107,Comedy,Musical,Romance
Summer Magic,1963,57542,4347,3,6.9,2721.0,110,Comedy,Family,Musical
Suzanne&#39;s Career,1963,56910,7925,3,6.8,4223.0,54,Drama,Romance,
"Sword in the Stone, The",1963,57546,3810,0,7.1,106194.0,79,Adventure,Animation,Comedy
Tamahine,1963,58636,10499,3,5.9,159.0,95,Comedy,Sport,
Tom Jones,1963,57590,4494,3,6.4,14215.0,129,Adventure,Comedy,History
Unearthly Stranger,1963,57623,8648,1,6.4,934.0,78,Horror,Mystery,Sci-Fi
Winnetou,1963,57687,9686,1,6.8,4588.0,101,Adventure,Drama,Western
Winter Light,1963,57358,7969,1,8.0,26999.0,81,Drama,,
X: The Man with the X-Ray Eyes,1963,57693,4951,1,6.6,8138.0,79,Horror,Sci-Fi,Thriller
A Hard Day&#39;s Night,1964,58182,1957,1,7.5,47972.0,87,Comedy,Musical,
A shot in the dark,1964,58586,6555,1,7.4,30837.0,102,Comedy,Mystery,
"Americanization of Emily, The",1964,57840,2385,2,7.3,5646.0,115,Comedy,Drama,Romance
Amongst Vultures,1964,58709,9695,0,5.9,1810.0,98,Adventure,Drama,Western
Band of Outsiders,1964,57869,2204,3,7.6,26978.0,95,Comedy,Crime,Drama
Bedtime Story,1964,57878,1250,1,6.7,2333.0,99,Comedy,,
Bikini Beach,1964,57887,2557,2,5.4,1754.0,99,Comedy,Music,Romance
Carry On Cleo,1964,57918,4673,1,6.7,4989.0,92,Adventure,Comedy,Romance
"Chalk Garden, The",1964,57933,7202,3,7.2,2481.0,106,Drama,Mystery,
Code Name: Tiger,1964,58658,4484,3,4.9,252.0,90,Thriller,,
Dead Ringer,1964,57997,4263,3,7.3,6392.0,116,Crime,Drama,Thriller
Der Geteilte Himmel (Divided Heaven),1964,58139,1198,2,6.6,392.0,116,Drama,Romance,
Diary of a Chambermaid,1964,58249,10629,3,7.4,9746.0,97,Crime,Drama,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,57012,341,0,8.4,516769.0,95,Comedy,War,
Fail-Safe,1964,58083,3569,1,8.0,24338.0,112,Drama,Thriller,
Fate Is the Hunter,1964,58091,10645,3,6.8,1886.0,106,Drama,Mystery,Thriller
Father Goose,1964,58092,10981,3,7.3,12276.0,118,Adventure,Comedy,Romance
First Men in the Moon,1964,58100,1253,1,6.5,6391.0,103,Adventure,Sci-Fi,
"Ghidorah, the Three-Headed Monster",1964,58544,4501,3,6.5,7849.0,93,Action,Adventure,Fantasy
Godzilla vs. The Thing (Mothra vs. Godzilla),1964,58379,6326,1,6.5,10213.0,89,Adventure,Fantasy,Sci-Fi
Goldfinger,1964,58150,3807,1,7.7,202081.0,110,Action,Adventure,Thriller
"Gospel According to St. Matthew, The",1964,58715,3189,1,7.6,13657.0,137,Biography,Drama,History
Honeymoon Hotel,1964,58204,10569,3,5.1,277.0,89,Comedy,,
"Hush...Hush, Sweet Charlotte",1964,58213,2922,3,7.5,15986.0,133,Crime,Drama,Mystery
King &amp; Country,1964,58263,3250,0,7.5,2468.0,88,Drama,War,
Kissin&#39; Cousins,1964,57227,10550,2,5.3,2496.0,96,Comedy,Musical,Romance
La tia Tula,1964,58695,7399,3,7.4,623.0,109,Drama,,
"Last Man on Earth, The",1964,58700,4376,1,6.7,21433.0,86,Drama,Horror,Sci-Fi
"Long Ships, The",1964,57259,1254,1,6.0,3100.0,126,Adventure,Drama,
Man&#39;s Favorite Sport?,1964,58324,2720,2,7.1,6054.0,120,Comedy,Romance,
Marnie,1964,58329,6402,3,7.1,53713.0,130,Crime,Drama,Mystery
Marriage Italian Style,1964,58335,2766,3,7.4,11004.0,102,Comedy,Drama,Romance
Mary Poppins,1964,58331,701,3,7.8,185578.0,139,Comedy,Family,Fantasy
My Fair Lady,1964,58385,1688,3,7.7,101588.0,170,Drama,Family,Musical
Nikutai no mon [Gate of Flesh],1964,58409,7236,3,7.2,3361.0,90,Drama,,
Old Shatterhand,1964,57380,9689,1,6.1,1799.0,122,Adventure,Drama,Western
Onibaba,1964,58430,3327,0,7.9,21729.0,103,Drama,Horror,Thriller
Per un pugno di dollari (A Fisful of Dollars),1964,58461,661,1,7.9,231934.0,99,Action,Drama,Western
Red Desert,1964,58003,6112,3,7.5,17550.0,117,Drama,,
Roustabout,1964,58534,10792,2,6.0,3303.0,101,Drama,Music,Musical
"Rudolph, the Red-Nosed Reindeer",1964,58536,1600,1,8.0,37407.0,47,Adventure,Animation,Comedy
Seduced and abandoned,1964,58564,7804,3,7.9,3841.0,118,Comedy,Drama,
"Time Travelers, The",1964,58659,7991,2,5.2,2975.0,84,Sci-Fi,,
"Train, The",1964,59825,4497,1,7.8,18707.0,133,Action,Thriller,War
"Umbrellas of Cherbourg, The",1964,58450,4356,3,7.8,31190.0,91,Drama,Musical,Romance
"Unsinkable Molly Brown, The",1964,58708,5513,3,6.6,4238.0,128,Comedy,Musical,Romance
Viva Las Vegas,1964,58725,3680,0,6.3,9180.0,85,Comedy,Musical,
Winnetou: The Red Gentleman,1964,58751,9692,1,6.5,3544.0,94,Adventure,Drama,Western
Woman in the Dunes,1964,58625,1212,0,8.5,22579.0,147,Drama,Thriller,
"Yellow One, The",1964,58553,9697,1,5.8,910.0,118,Adventure,,
Zulu,1964,58777,2483,0,7.7,42629.0,138,Drama,History,War
A Charlie Brown Christmas,1965,59026,11175,3,8.3,44020.0,25,Animation,Comedy,Drama
A Patch of Blue,1965,59573,8694,3,8.0,9515.0,105,Drama,Romance,
A Study in Terror,1965,59764,2389,3,6.5,2460.0,95,Crime,Mystery,Thriller
Alphaville,1965,58898,3116,1,7.0,27515.0,99,Drama,Mystery,Sci-Fi
"Big Job, The",1965,58969,10489,3,6.4,879.0,85,Comedy,Crime,Mystery
Bunny Lake Is Missing,1965,58997,5960,3,7.3,10189.0,107,Drama,Mystery,Thriller
Cat Ballou,1965,59017,10219,3,6.7,16150.0,97,Western,,
Daikaiju Gamera,1965,59080,6428,2,5.2,3776.0,78,Action,Horror,Sci-Fi
Darling,1965,59084,3623,3,7.0,7880.0,128,Drama,Romance,
Devils of Darkness,1965,59100,7109,3,4.9,1047.0,88,Horror,,
Doctor Zhivago,1965,59113,5884,1,7.9,81876.0,197,Drama,Romance,War
"Endless Summer, The",1965,60371,10885,0,7.6,6201.0,95,Documentary,Sport,
"Faster, Pussycat! Kill! Kill!",1965,59170,3649,3,6.6,16086.0,83,Action,Comedy,
"Flight of the Phoenix, The",1965,59183,3432,0,7.5,22354.0,142,Adventure,Drama,
For a Few Dollars More,1965,59578,3413,0,8.2,273796.0,132,Drama,Western,
Frankenstein Conquers the World,1965,59205,6652,1,5.5,2417.0,90,Horror,Sci-Fi,Thriller
Girl Happy,1965,59224,10815,3,6.3,2952.0,96,Comedy,Musical,Romance
Gulliver&#39;s Travels Beyond the Moon,1965,59212,2075,0,6.2,194.0,80,Adventure,Animation,Fantasy
How to Murder Your Wife,1965,58212,8204,0,6.5,6920.0,118,Comedy,,
Inside Daisy Clover,1965,59314,3543,3,6.1,4231.0,128,Drama,Music,Romance
Invasion of Astro-Monster,1965,59346,6346,2,6.2,7376.0,94,Action,Adventure,Sci-Fi
"Ipcress File, The",1965,59319,2569,1,7.2,17534.0,109,Drama,Thriller,
Juliet of the Spirits,1965,59229,2186,3,7.5,14674.0,137,Comedy,Drama,Fantasy
Kapurush,1965,59348,6899,0,7.6,2404.0,70,Drama,Romance,
"Knack... and How to Get It, The",1965,59362,10001,0,6.3,3744.0,85,Comedy,,
Mne dvadtsat let (I am twenty),1965,58361,8189,3,7.7,1606.0,189,Drama,,
"Oil Prince, The",1965,59958,9687,1,5.8,1587.0,89,Adventure,Western,
Old Surehand,1965,59538,9696,1,5.8,1679.0,90,Adventure,Western,
"Pleasure Girls, The",1965,59607,3828,3,5.8,273.0,88,Drama,,
Pyramid of the Sun God,1965,59621,9698,1,5.1,566.0,102,Adventure,Western,
Red Beard,1965,58888,9820,3,8.3,21013.0,185,Drama,,
Repulsion,1965,59646,2338,3,7.6,57144.0,105,Drama,Horror,Thriller
"Sound of Music, The",1965,59742,601,3,8.1,259925.0,172,Biography,Drama,Family
That Darn Cat!,1965,59793,2487,3,6.7,7885.0,116,Comedy,Crime,Family
Thunderball,1965,59800,2390,2,6.9,126783.0,130,Action,Adventure,Thriller
Tickle Me,1965,56585,10813,2,5.8,2013.0,90,Comedy,Musical,Romance
Treasure of the Aztecs,1965,59682,9699,1,5.3,629.0,101,Adventure,Western,
Viva Maria!,1965,59956,3475,3,6.3,3958.0,120,Adventure,Comedy,Romance
"Wild Affair, The",1965,57685,10494,3,5.7,171.0,88,Comedy,,
Winnetou: The Last Shot,1965,59915,9691,0,6.6,2860.0,93,Action,Adventure,Western
A Big Hand for the Little Lady,1966,60165,2696,1,7.3,4618.0,95,Comedy,Drama,Western
A Man for All Seasons,1966,60665,3576,1,7.7,37074.0,120,Biography,Drama,History
Alfie,1966,60086,2140,1,7.0,15799.0,114,Comedy,Drama,
Andrei Rublev,1966,60107,3706,1,8.1,56914.0,205,Biography,Drama,History
Black Girl,1966,60758,6897,3,7.4,5985.0,65,Drama,,
Blood Bath,1966,60174,4057,2,5.1,1085.0,62,Horror,,
Blow-Up,1966,60176,2626,0,7.4,67468.0,111,Drama,Mystery,Thriller
Daikaiju ketto: Gamera tai Barugon,1966,60446,6659,0,5.1,2826.0,106,Action,Adventure,Fantasy
Daimajin,1966,62851,6433,1,6.7,1877.0,84,Drama,Fantasy,Horror
Daisies,1966,60959,2069,3,7.3,15272.0,75,Comedy,,
Death Rides a Horse,1966,64208,6910,0,7.0,9285.0,120,Drama,Western,
Django,1966,60315,3671,0,7.2,30859.0,91,Action,Drama,Western
Dracula: Prince of Darkness,1966,59127,7033,1,6.6,10841.0,90,Horror,,
El Dorado,1966,61619,9577,1,7.5,30306.0,126,Drama,Romance,Western
End of August at the Hotel Ozone,1966,61879,2308,3,6.7,645.0,77,Drama,Sci-Fi,
Eye of the Devil,1966,61634,10482,3,6.1,3201.0,96,Horror,Mystery,
Fahrenheit 451,1966,60390,3087,3,7.2,45342.0,112,Drama,Sci-Fi,
Fantastic Voyage,1966,60397,2625,0,6.8,20772.0,100,Adventure,Sci-Fi,
"Fortune Cookie, The",1966,60424,2838,1,7.2,15528.0,125,Comedy,Romance,
Frankie and Johnny,1966,60429,10796,2,5.6,2382.0,87,Comedy,Musical,Romance
Georgy Girl,1966,60453,3143,3,6.9,4231.0,99,Comedy,Drama,Romance
"Godzilla vs. the Sea Monster (Ebirah, Horror of the Deep)",1966,60464,6362,1,5.5,6305.0,87,Action,Adventure,Fantasy
"Good, the Bad and the Ugly, The",1966,60196,1725,1,8.8,808762.0,161,Adventure,Western,
"Group, The",1966,60479,2701,3,6.5,2093.0,150,Drama,,
How to Steal a Million,1966,60522,4862,0,7.5,29769.0,123,Comedy,Crime,Romance
Jesse James Meets Frankenstein&#39;s Daughter,1966,60558,2804,1,3.4,2062.0,88,Horror,Sci-Fi,Western
L&#39;armata Brancaleone,1966,60125,4575,1,7.7,5261.0,120,Adventure,Comedy,History
La battaglia di Algeri,1966,58946,658,1,8.1,65436.0,121,Drama,War,
La caza,1966,60223,7415,0,7.5,2448.0,91,Drama,Thriller,
Lost Command,1966,60637,9426,1,6.3,2269.0,129,Action,Drama,War
"Lt. Robin Crusoe, U.S.N.",1966,60640,10644,1,5.8,1560.0,110,Adventure,Comedy,Family
Made in USA,1966,60647,10585,1,6.2,4625.0,90,Comedy,Crime,Mystery
Manos: The Hands of Fate,1966,60666,9419,3,1.6,37506.0,70,Horror,,
Murderers&#39; Row,1966,60728,10480,1,5.8,2455.0,105,Action,Adventure,Comedy
"Nun, The",1966,60891,10671,3,7.5,3225.0,140,Drama,,
One Million Years B.C.,1966,60782,7021,1,5.7,9571.0,100,Adventure,Comedy,Fantasy
