title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Nevada,1927,18199,1982,0,6.2,137.0,70,Western,,
Sunrise: A Song of Two Humans,1927,18455,1632,2,8.1,53732.0,94,Drama,Romance,
"Unknown, The",1927,18528,1311,0,7.7,9094.0,68,Drama,Horror,Romance
Wings,1927,18578,3118,1,7.5,14463.0,144,Action,Drama,Romance
A Girl in Every Port,1928,18937,1980,0,6.6,813.0,78,Action,Adventure,Comedy
Beggars of Life,1928,18684,1977,0,7.4,1313.0,84,Adventure,Crime,Drama
"Cameraman, The",1928,18742,1970,0,8.0,13100.0,76,Comedy,Drama,Family
"Circus, The",1928,18773,1968,0,8.1,35943.0,72,Comedy,Family,Romance
"Crowd, The",1928,18806,5912,1,8.1,9127.0,98,Drama,Romance,
"Docks of New York, The",1928,18839,5984,2,7.5,5011.0,76,Crime,Drama,Film-Noir
"Man Who Laughs, The",1928,19130,2021,2,7.6,8013.0,110,Drama,Horror,Mystery
Our Dancing Daughters,1928,19237,9314,2,6.7,1960.0,85,Drama,,
"Passion of Joan of Arc, The",1928,19254,1314,0,8.1,60424.0,110,Biography,Drama,History
"Patsy, The",1928,19258,2013,3,7.5,2768.0,78,Comedy,Drama,Romance
"Power of the Press, The",1928,19290,1979,1,6.4,321.0,62,Drama,,
"Racket, The",1928,19304,1972,0,6.6,1571.0,84,Crime,Drama,Film-Noir
Speedy,1928,19412,1963,0,7.6,4248.0,85,Action,Comedy,Family
"Steamboat Bill, Jr.",1928,19421,1971,0,7.8,16125.0,70,Action,Comedy,Drama
While the City Sleeps,1928,19571,2017,2,6.5,261.0,66,Action,Crime,Drama
Blackmail,1929,19702,5979,2,6.9,11914.0,85,Crime,Drama,Thriller
Broadway Melody,1929,19729,8464,3,5.6,7964.0,100,Drama,Musical,Romance
"Cocoanuts, The",1929,19777,1953,2,6.8,8184.0,96,Comedy,Musical,Romance
Juno and the Paycock [The Shame of Mary Boyle],1929,21015,7287,3,4.6,2525.0,85,Comedy,Drama,
Man with a Movie Camera,1929,19760,3897,0,8.3,27864.0,68,Documentary,,
Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929,18737,2324,3,7.8,11817.0,109,Crime,Drama,Romance
Throw of the Dice,1929,20286,6046,0,6.5,998.0,74,Adventure,Drama,Romance
Welcome Danger,1929,20572,1962,0,5.9,818.0,113,Comedy,,
All Quiet on the Western Front,1930,20629,1316,0,8.1,67525.0,152,Drama,War,
